DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation
02M303,M303,"Facing History School, The",High School,Manhattan,372,5.85,0.412,6.261,0.859,0.828,0.455,0.303,64.9,66.49,0.011,0.255,0.699,0.022,0.013,99,99,99,320,8,260,95,4,5,7.9,2.623,2.365,0.958,0.8,0.434,0.11,0.245,0.172,0.766,0.7,0.566,Medium Graduation
02M305,M305,"Urban Assembly Academy of Government and Law, The",High School,Manhattan,324,4.3,0.242,4.543,0.85,0.885,0.475,0.303,78.2,64.9,0.059,0.34,0.565,0.031,0.005,61,61,61,275,10,183,110,19,2,5.0,2.839,2.543,0.97,0.852,0.536,0.04,0.207,0.17,0.769,0.56,0.464,Medium Graduation
02M308,M308,Lower Manhattan Arts Academy,High School,Manhattan,290,5.379,0.458,5.837,0.819,0.785,0.477,0.223,78.3,58.6,0.086,0.286,0.583,0.028,0.017,65,65,65,238,8,169,83,25,5,0.1,2.7,2.339,0.956,0.868,0.562,0.069,0.366,0.145,0.693,0.769,0.438,Low Graduation
02M316,M316,"Urban Assembly School of Business for Young Women,",High School,Manhattan,179,2.981,0.137,3.118,0.84,0.766,0.468,0.16,69.5,60.8,0.056,0.492,0.374,0.034,0.044,47,47,47,150,6,67,88,10,8,14.1,2.931,2.563,0.972,0.811,0.487,0.073,0.168,0.128,0.76,0.6,0.513,Low Graduation
02M374,M374,Gramercy Arts High School,High School,Manhattan,468,5.79,0.316,6.106,0.761,0.908,0.716,0.376,78.3,66.8,0.045,0.327,0.519,0.064,0.045,109,109,109,356,30,243,153,21,21,5.1,3.106,2.822,0.946,0.838,0.504,0.021,0.171,0.098,0.652,0.765,0.496,Medium Graduation
02M376,M376,NYC iSchool,High School,Manhattan,466,5.892,0.025,5.917,0.343,1.0,0.963,0.587,88.9,81.3,0.084,0.148,0.223,0.487,0.058,109,109,109,160,227,104,69,39,27,6.9,3.667,3.702,0.982,0.947,0.886,0.011,0.165,0.047,0.212,0.818,0.114,High Graduation
02M392,M392,Manhattan Business Academy,High School,Manhattan,414,6.249,0.32,6.569,0.813,0.902,0.5,0.37,74.2,63.0,0.063,0.225,0.65,0.046,0.016,92,92,92,337,19,269,93,26,7,10.1,2.873,2.663,0.974,0.848,0.546,0.063,0.21,0.147,0.71,0.75,0.454,Medium Graduation
02M393,M393,Business Of Sports School,High School,Manhattan,429,6.721,0.467,7.188,0.798,0.868,0.451,0.599,73.2,59.9,0.012,0.329,0.611,0.03,0.018,91,91,91,342,13,262,141,5,8,10.1,2.594,2.368,0.951,0.847,0.487,0.082,0.242,0.152,0.688,0.658,0.513,Medium Graduation
02M399,M399,The High School For Language And Diplomacy,High School,Manhattan,302,3.809,0.252,4.061,0.831,0.833,0.5,0.327,70.5,65.9,0.242,0.232,0.464,0.033,0.029,84,84,84,251,10,140,70,73,9,3.5,2.853,2.794,0.971,0.83,0.528,0.109,0.175,0.123,0.725,0.684,0.472,Medium Graduation
02M400,M400,High School for Environmental Studies,High School,Manhattan,1146,13.65,0.764,14.415,0.788,0.786,0.603,0.411,77.4,65.9,0.111,0.161,0.649,0.065,0.014,252,252,252,903,74,744,185,127,16,3.5,2.979,2.91,0.967,0.861,0.65,0.087,0.189,0.111,0.681,0.853,0.35,Low Graduation
02M407,M407,Institute for Collaborative Education,High School,Manhattan,277,4.782,0.022,4.804,0.389,0.955,0.896,0.336,81.1,66.49,0.061,0.217,0.202,0.487,0.033,67,67,67,108,135,56,60,17,9,7.5,2.915,2.769,0.965,0.916,0.824,0.007,0.191,0.065,0.253,0.852,0.176,High Graduation
02M408,M408,Professional Performing Arts High School,High School,Manhattan,435,6.771,0.019,6.79,0.396,0.98,0.79,0.98,87.8,69.4,0.076,0.225,0.209,0.432,0.058,100,100,100,172,188,91,98,33,25,14.1,3.466,3.421,0.967,0.933,0.817,0.002,0.145,0.048,0.239,0.862,0.183,High Graduation
02M411,M411,Baruch College Campus High School,High School,Manhattan,475,5.681,0.01,5.691,0.4,1.0,0.955,0.768,89.8,82.4,0.354,0.036,0.137,0.432,0.041,112,112,112,190,205,65,17,168,19,15.3,3.736,3.912,0.973,0.96,0.918,0.011,0.118,0.059,0.312,0.778,0.082,High Graduation
02M412,M412,N.Y.C. Lab School for Collaborative Studies,High School,Manhattan,471,8.958,0.184,9.142,0.295,0.974,0.913,0.848,88.5,88.5,0.191,0.036,0.123,0.575,0.075,115,115,115,139,271,58,17,90,35,12.9,3.741,3.853,0.972,0.938,0.84,0.006,0.206,0.025,0.206,0.905,0.16,High Graduation
02M413,M413,School of the Future High School,High School,Manhattan,445,9.831,0.267,10.098,0.432,0.954,0.89,0.982,81.2,66.49,0.182,0.11,0.267,0.351,0.09,109,109,109,192,156,119,49,81,40,11.9,3.366,3.388,0.973,0.945,0.857,0.002,0.196,0.067,0.315,0.745,0.143,High Graduation
02M414,M414,N.Y.C. Museum School,High School,Manhattan,449,5.601,0.24,5.841,0.562,0.979,0.916,0.879,86.2,78.8,0.245,0.136,0.376,0.223,0.02,95,95,95,252,100,169,61,110,9,14.1,3.628,3.689,0.974,0.929,0.794,0.009,0.203,0.045,0.441,0.714,0.206,High Graduation
02M416,M416,Eleanor Roosevelt High School,High School,Manhattan,530,6.828,0.003,6.832,0.198,1.0,1.0,0.969,92.0,84.7,0.158,0.026,0.1,0.675,0.041,128,128,128,105,358,53,14,84,22,11.1,4.022,4.18,0.971,0.968,0.945,0.0,0.155,0.009,0.13,0.848,0.055,High Graduation
02M418,M418,Millennium High School,High School,Manhattan,681,6.924,0.02,6.944,0.481,1.0,0.986,0.947,89.6,85.0,0.47,0.038,0.11,0.32,0.062,141,141,141,328,218,75,26,320,42,7.1,3.799,3.964,0.976,0.97,0.939,0.007,0.125,0.056,0.389,0.897,0.061,High Graduation
02M419,M419,Landmark High School,High School,Manhattan,330,4.83,0.355,5.185,0.826,0.765,0.5,0.378,71.3,66.49,0.03,0.339,0.591,0.024,0.016,98,98,98,273,8,195,112,10,5,6.9,2.673,2.345,0.956,0.799,0.393,0.055,0.224,0.136,0.721,0.731,0.607,Low Graduation
02M420,M420,High School for Health Professions and Human Servi,High School,Manhattan,1825,19.683,1.182,20.866,0.751,0.946,0.833,0.804,83.3,68.3,0.22,0.156,0.53,0.079,0.015,425,425,425,1371,144,967,285,402,27,9.9,3.167,3.19,0.965,0.92,0.782,0.042,0.13,0.081,0.65,0.811,0.218,Medium Graduation
02M422,M422,Quest to Learn,High School,Manhattan,378,8.769,0.46,9.229,0.654,0.807,0.554,0.38,74.3,66.2,0.119,0.204,0.431,0.209,0.037,83,83,83,247,79,163,77,45,14,3.1,2.843,2.575,0.968,0.864,0.577,0.037,0.28,0.114,0.553,0.878,0.423,Medium Graduation
02M425,M425,Leadership and Public Service High School,High School,Manhattan,473,6.308,0.474,6.782,0.831,0.887,0.573,0.497,73.2,63.9,0.085,0.268,0.59,0.036,0.021,150,150,150,393,17,279,127,40,10,8.1,2.826,2.611,0.965,0.832,0.499,0.049,0.201,0.123,0.746,0.767,0.501,Medium Graduation
02M427,M427,Manhattan Academy For Arts & Language,High School,Manhattan,233,4.187,0.234,4.42,0.955,0.649,0.311,0.291,70.3,62.2,0.009,0.021,0.948,0.021,0.001,74,74,74,223,5,221,5,2,0,9.1,2.01,2.083,0.96,0.865,0.562,0.674,0.124,0.433,0.777,0.947,0.438,Low Graduation
02M432,M432,Murray Hill Academy,High School,Manhattan,304,5.277,0.341,5.618,0.821,0.686,0.5,0.236,77.5,68.9,0.059,0.306,0.53,0.066,0.039,70,70,70,250,20,161,93,18,12,9.1,2.653,2.412,0.981,0.804,0.45,0.039,0.25,0.151,0.724,0.625,0.55,Low Graduation
02M437,M437,Hudson High School of Learning Technologies,High School,Manhattan,476,7.344,0.487,7.83,0.827,0.813,0.402,0.304,72.7,59.6,0.061,0.252,0.628,0.034,0.025,107,107,107,394,16,299,120,29,12,9.1,2.739,2.506,0.968,0.822,0.448,0.088,0.256,0.137,0.725,0.853,0.552,Medium Graduation
02M438,M438,International High School at Union Square,High School,Manhattan,356,5.588,0.27,5.858,0.97,0.688,0.333,0.237,64.5,62.5,0.157,0.202,0.534,0.098,0.009,93,93,93,345,35,190,72,56,3,3.9,1.927,2.163,0.976,0.89,0.668,0.862,0.034,0.402,0.716,0.815,0.332,Low Graduation
02M439,M439,Manhattan Village Academy,High School,Manhattan,452,5.135,0.271,5.406,0.681,0.991,0.953,0.962,88.1,79.8,0.084,0.159,0.666,0.086,0.005,106,106,106,308,39,301,72,38,2,19.9,3.345,3.32,0.976,0.981,0.978,0.02,0.157,0.049,0.527,0.724,0.022,High Graduation
02M449,M449,Vanguard High School,High School,Manhattan,427,6.4,0.431,6.831,0.763,0.776,0.622,0.209,72.4,66.49,0.059,0.246,0.593,0.068,0.034,98,98,98,326,29,253,105,25,15,7.9,2.784,2.502,0.955,0.87,0.577,0.03,0.246,0.089,0.651,0.829,0.423,Low Graduation
02M459,M459,Manhattan International High School,High School,Manhattan,313,4.737,0.239,4.976,0.933,0.624,0.495,0.258,70.1,66.49,0.144,0.15,0.508,0.195,0.003,93,93,93,292,61,159,47,45,1,6.9,1.978,2.187,0.975,0.877,0.599,0.716,0.022,0.233,0.636,0.727,0.401,Low Graduation
02M475,M475,Stuyvesant High School,High School,Manhattan,3316,34.177,0.052,34.228,0.403,0.989,0.989,0.998,95.6,93.5,0.732,0.009,0.03,0.188,0.041,820,820,820,1336,623,99,30,2427,136,2.9,4.198,4.393,0.966,0.968,0.942,0.0,0.005,0.02,0.288,0.907,0.058,High Graduation
02M489,M489,High School of Economics and Finance,High School,Manhattan,741,9.298,0.589,9.888,0.771,0.896,0.73,0.488,77.1,68.0,0.216,0.25,0.443,0.08,0.011,163,163,163,571,59,328,185,160,8,12.0,2.899,2.889,0.97,0.898,0.767,0.059,0.193,0.109,0.657,0.705,0.233,Medium Graduation
02M500,M500,Unity Center for Urban Technologies,High School,Manhattan,278,3.806,0.303,4.11,0.876,0.903,0.516,0.379,75.8,71.6,0.083,0.259,0.612,0.04,0.006,62,62,62,244,11,170,72,23,2,12.0,2.729,2.531,0.959,0.804,0.45,0.068,0.237,0.18,0.795,0.333,0.55,Medium Graduation
02M507,M507,Urban Assembly Gateway School for Technology,High School,Manhattan,456,6.497,0.317,6.814,0.666,0.955,0.793,0.775,77.3,69.4,0.064,0.309,0.546,0.066,0.015,111,111,111,304,30,249,141,29,7,2.0,3.012,2.928,0.965,0.922,0.76,0.035,0.224,0.092,0.513,0.743,0.24,High Graduation
02M519,M519,Talent Unlimited High School,High School,Manhattan,518,6.711,0.154,6.865,0.528,0.96,0.828,0.864,84.0,72.1,0.039,0.305,0.446,0.137,0.073,99,99,99,274,71,231,158,20,38,2.8,3.294,3.089,0.976,0.909,0.725,0.01,0.141,0.052,0.4,0.794,0.275,High Graduation
02M520,M520,Murry Bergtraum High School for Business Careers,High School,Manhattan,182,5.141,0.312,5.453,0.81,0.73,0.349,0.429,68.7,56.5,0.044,0.511,0.412,0.016,0.017,63,63,63,147,3,75,93,8,3,4.7,2.666,2.371,0.979,0.782,0.44,0.06,0.236,0.11,0.709,0.688,0.56,Low Graduation
02M529,M529,Jacqueline Kennedy Onassis High School,High School,Manhattan,443,6.717,0.563,7.28,0.79,0.64,0.367,0.357,68.6,64.2,0.061,0.242,0.652,0.034,0.011,150,150,150,350,15,289,107,27,5,15.1,2.675,2.417,0.972,0.785,0.36,0.09,0.201,0.131,0.695,0.486,0.64,Low Graduation
02M531,M531,Repertory Company High School for Theatre Arts,High School,Manhattan,237,3.376,0.114,3.491,0.556,1.0,0.78,0.941,79.0,70.6,0.008,0.325,0.46,0.181,0.026,59,59,59,132,43,109,77,2,6,3.5,3.331,3.134,0.946,0.91,0.689,0.004,0.169,0.051,0.418,0.867,0.311,High Graduation
02M533,M533,Union Square Academy for Health Sciences,High School,Manhattan,414,5.999,0.338,6.336,0.832,0.84,0.553,0.436,69.6,60.2,0.114,0.205,0.611,0.065,0.005,94,94,94,344,27,253,85,47,2,7.1,2.82,2.694,0.968,0.878,0.609,0.075,0.152,0.104,0.742,0.621,0.391,Medium Graduation
02M534,M534,Harvest Collegiate High School,High School,Manhattan,457,7.603,0.036,7.639,0.635,0.858,0.689,0.34,76.3,66.49,0.066,0.21,0.495,0.188,0.041,106,106,106,290,86,226,96,30,19,7.0,3.061,2.801,0.955,0.861,0.618,0.024,0.252,0.072,0.514,0.789,0.382,Medium Graduation
02M542,M542,Manhattan Bridges High School,High School,Manhattan,532,6.465,0.41,6.875,0.912,0.953,0.774,0.882,75.7,70.9,0.002,0.004,0.989,0.002,0.003,106,106,106,485,1,526,2,1,2,0.6,2.426,2.671,0.975,0.906,0.706,0.464,0.073,0.28,0.776,0.839,0.294,High Graduation
02M543,M543,New Design High School,High School,Manhattan,426,6.555,0.23,6.785,0.83,0.767,0.477,0.081,75.6,61.9,0.049,0.345,0.577,0.014,0.015,86,86,86,354,6,246,147,21,6,16.1,2.661,2.364,0.964,0.827,0.468,0.054,0.263,0.129,0.732,0.795,0.532,Low Graduation
02M545,M545,High School for Dual Language and Asian Studies,High School,Manhattan,402,4.875,0.263,5.138,0.784,1.0,0.989,1.0,85.2,89.6,0.91,0.022,0.035,0.022,0.011,88,88,88,315,9,14,9,366,4,16.1,3.266,3.997,0.984,0.985,0.985,0.134,0.032,0.162,0.677,0.833,0.015,High Graduation
02M546,M546,Academy for Software Engineering,High School,Manhattan,459,6.488,0.434,6.922,0.677,0.934,0.774,0.443,79.8,68.5,0.102,0.207,0.566,0.109,0.016,106,106,106,311,50,260,95,47,7,1.8,3.008,2.973,0.964,0.893,0.709,0.041,0.259,0.063,0.549,0.794,0.291,Medium Graduation
02M551,M551,Urban Assembly New York Harbor School,High School,Manhattan,533,8.504,0.12,8.623,0.542,0.84,0.585,0.676,79.2,62.4,0.075,0.173,0.405,0.266,0.081,94,94,94,289,142,216,92,40,43,4.1,3.037,2.868,0.969,0.891,0.69,0.021,0.229,0.068,0.428,0.795,0.31,Medium Graduation
02M580,M580,Richard R. Green High School of Teaching,High School,Manhattan,429,6.493,0.453,6.946,0.775,0.835,0.522,0.287,77.7,59.4,0.063,0.289,0.599,0.033,0.016,115,115,115,332,14,257,124,27,7,2.0,2.874,2.611,0.964,0.906,0.773,0.042,0.189,0.119,0.655,0.839,0.227,Medium Graduation
02M600,M600,The High School of Fashion Industries,High School,Manhattan,1577,19.362,1.444,20.806,0.76,0.887,0.709,0.826,82.0,67.8,0.055,0.313,0.57,0.052,0.01,354,354,354,1199,82,899,494,87,16,8.9,3.051,2.774,0.963,0.901,0.686,0.032,0.162,0.107,0.649,0.869,0.314,Medium Graduation
02M605,M605,Humanities Preparatory Academy,High School,Manhattan,245,3.743,0.148,3.891,0.736,0.939,0.803,0.326,79.2,66.49,0.061,0.216,0.62,0.073,0.03,66,66,66,180,18,152,53,15,7,6.9,3.045,2.789,0.982,0.836,0.579,0.033,0.204,0.2,0.567,0.722,0.421,Medium Graduation
02M615,M615,Chelsea Career and Technical Education High School,High School,Manhattan,451,7.441,0.534,7.975,0.79,0.835,0.649,0.562,78.4,66.4,0.135,0.215,0.616,0.027,0.007,97,97,97,356,12,278,97,61,3,1.9,2.909,2.797,0.947,0.852,0.541,0.04,0.195,0.102,0.701,0.75,0.459,Medium Graduation
02M630,M630,Art and Design High School,High School,Manhattan,1478,20.611,0.501,21.112,0.572,0.904,0.79,0.887,81.6,74.7,0.085,0.148,0.539,0.173,0.055,324,324,324,845,256,797,219,126,81,3.5,3.346,3.149,0.967,0.894,0.705,0.008,0.212,0.068,0.444,0.698,0.295,Medium Graduation
02M655,M655,Life Sciences Secondary School,High School,Manhattan,425,6.827,0.367,7.194,0.855,0.794,0.443,0.165,72.7,58.8,0.073,0.256,0.624,0.038,0.009,97,97,97,363,16,265,109,31,4,4.1,2.69,2.43,0.951,0.775,0.374,0.104,0.219,0.16,0.76,0.758,0.626,Low Graduation
03M291,M291,West End Secondary School,High School,Manhattan,118,4.876,0.007,4.884,0.191,0.836,0.565,0.485,73.367,73.8,0.034,0.085,0.195,0.669,0.017,149,149,149,23,79,23,10,4,2,4.1,3.497,3.417,0.972,0.956,0.915,0.0,0.195,0.034,0.11,0.516,0.085,Medium Graduation
03M299,M299,The Maxine Greene HS for Imaginative Inquiry,High School,Manhattan,341,5.345,0.287,5.632,0.853,0.766,0.405,0.221,57.7,57.5,0.029,0.37,0.531,0.041,0.029,111,111,111,291,14,181,126,10,10,14.1,2.717,2.416,0.971,0.811,0.429,0.129,0.252,0.182,0.757,0.6,0.571,Low Graduation
03M307,M307,"Urban Assembly School for Media Studies, The",High School,Manhattan,407,5.928,0.393,6.321,0.846,0.824,0.509,0.204,73.8,62.4,0.025,0.322,0.607,0.02,0.026,108,108,108,344,8,247,131,10,11,1.1,2.787,2.518,0.985,0.849,0.487,0.054,0.155,0.133,0.757,0.63,0.513,Medium Graduation
03M402,M402,The Urban Assembly School for Green Careers,High School,Manhattan,304,5.623,0.305,5.928,0.829,0.771,0.289,0.181,67.9,56.5,0.023,0.28,0.589,0.086,0.022,83,83,83,252,26,179,85,7,7,3.1,2.705,2.442,0.971,0.816,0.442,0.151,0.234,0.171,0.734,0.444,0.558,Low Graduation
03M403,M403,The Global Learning Collaborative,High School,Manhattan,414,6.149,0.432,6.581,0.847,0.788,0.434,0.283,71.6,61.9,0.019,0.256,0.662,0.051,0.012,99,99,99,351,21,274,106,8,5,6.9,2.762,2.578,0.959,0.857,0.608,0.123,0.203,0.143,0.758,0.765,0.392,Low Graduation
03M415,M415,Wadleigh Secondary School for the Performing & Vis,High School,Manhattan,227,7.46,0.289,7.749,0.874,0.891,0.378,0.344,70.9,60.1,0.004,0.537,0.401,0.018,0.04,46,45,45,198,4,91,122,1,9,1.0,2.816,2.447,0.983,0.867,0.556,0.022,0.211,0.185,0.78,0.813,0.444,Medium Graduation
03M417,M417,Frank McCourt High School,High School,Manhattan,413,4.947,0.026,4.973,0.492,0.968,0.842,0.4,80.1,68.5,0.046,0.136,0.46,0.3,0.058,95,95,95,203,124,190,56,19,24,9.1,3.251,3.226,0.958,0.914,0.769,0.029,0.213,0.039,0.361,0.815,0.231,High Graduation
03M479,M479,Beacon High School,High School,Manhattan,1423,13.31,0.057,13.368,0.304,0.984,0.974,0.691,90.7,49.2,0.09,0.143,0.197,0.467,0.103,306,306,306,433,665,280,203,128,147,15.0,3.912,3.977,0.974,0.968,0.946,0.001,0.114,0.02,0.189,0.912,0.054,High Graduation
03M485,M485,Fiorello H. LaGuardia High School of Music & Art a,High School,Manhattan,2760,30.141,0.101,30.242,0.301,0.99,0.987,0.98,90.5,86.2,0.195,0.099,0.179,0.455,0.072,717,717,717,831,1256,494,273,538,199,5.9,3.931,4.006,0.958,0.949,0.894,0.002,0.037,0.014,0.192,0.911,0.106,High Graduation
03M492,M492,"High School for Law, Advocacy and Community Justic",High School,Manhattan,429,6.934,0.336,7.27,0.834,0.761,0.459,0.344,71.7,65.1,0.047,0.336,0.573,0.026,0.018,109,109,109,358,11,246,144,20,8,7.9,2.868,2.565,0.969,0.855,0.58,0.065,0.17,0.17,0.734,0.813,0.42,Low Graduation
03M494,M494,High School of Arts and Technology,High School,Manhattan,492,7.403,0.689,8.092,0.849,0.678,0.339,0.161,67.6,62.0,0.063,0.319,0.553,0.039,0.026,118,118,118,418,19,272,157,31,13,1.1,2.662,2.448,0.97,0.811,0.481,0.087,0.252,0.167,0.748,0.583,0.519,Low Graduation
03M541,M541,Manhattan / Hunter Science High School,High School,Manhattan,441,5.194,0.009,5.203,0.536,0.99,0.97,0.98,92.9,81.2,0.272,0.163,0.306,0.209,0.05,100,100,100,236,92,135,72,120,22,5.9,3.842,3.978,0.956,0.974,0.95,0.0,0.138,0.041,0.408,0.8,0.05,High Graduation
03M859,M859,Special Music School,High School,Manhattan,181,4.462,0.029,4.491,0.356,0.952,0.857,0.833,88.9,77.4,0.094,0.105,0.155,0.475,0.171,42,42,42,64,86,28,19,17,31,9.3,3.621,3.51,0.982,0.931,0.778,0.006,0.144,0.05,0.182,0.875,0.222,High Graduation
03M860,M860,Frederick Douglass Academy II Secondary School,High School,Manhattan,290,5.537,0.286,5.823,0.881,0.784,0.324,0.135,61.8,57.7,0.021,0.624,0.328,0.017,0.01,74,74,74,255,5,95,181,6,3,9.0,2.507,2.267,0.971,0.819,0.505,0.107,0.255,0.186,0.779,0.448,0.495,Low Graduation
04M372,M372,Esperanza Preparatory Academy,High School,Manhattan,354,10.653,0.804,11.457,0.939,0.763,0.462,0.274,65.0,58.3,0.003,0.09,0.893,0.014,0.0,93,93,93,332,5,316,32,1,0,3.0,2.521,2.315,0.97,0.877,0.587,0.336,0.192,0.215,0.847,0.582,0.413,Low Graduation
